Nx,Ny,Particles,Threads,Iteration,Interp(s),MoverOnly(s),Update(s),Total(s),Deleted
1000,400,14000000,8,4,0.108000,0.037000,0.000000,0.145000,11593
1000,400,14000000,8,5,0.093000,0.039000,0.000000,0.132000,10396
1000,400,14000000,8,6,0.094000,0.037000,0.000000,0.131000,9490
1000,400,14000000,8,7,0.090000,0.036000,0.000000,0.126000,8860
1000,400,14000000,8,8,0.086000,0.035000,0.000000,0.121000,8325
1000,400,14000000,8,9,0.088000,0.033000,0.000000,0.121000,7779
1000,400,14000000,8,10,0.092000,0.035000,0.000000,0.127000,7201
1000,400,14000000,16,1,0.085000,0.035000,0.000000,0.120000,24905
1000,400,14000000,16,2,0.088000,0.034000,0.000000,0.122000,16512
1000,400,14000000,16,3,0.090000,0.034000,0.000000,0.124000,13378
1000,400,14000000,16,4,0.092000,0.033000,0.000000,0.125000,11442
1000,400,14000000,16,5,0.087000,0.034000,0.000000,0.121000,10496
1000,400,14000000,16,6,0.088000,0.033000,0.000000,0.121000,9271
1000,400,14000000,16,7,0.099000,0.034000,0.000000,0.133000,8837
1000,400,14000000,16,8,0.096000,0.033000,0.000000,0.129000,8235
1000,400,14000000,16,9,0.087000,0.034000,0.000000,0.121000,7719
1000,400,14000000,16,10,0.089000,0.034000,0.000000,0.123000,7625
